density,cooling,heating
1000,52.82,3.12
1050,52.81,3.07
1100,52.84,3.09
1150,52.85,3.00
1200,52.80,2.94
1250,52.81,2.96
1300,52.78,2.97
1350,52.78,2.96
1400,52.81,2.98
1450,52.78,2.96
1500,52.79,2.92
1550,52.76,2.91
1600,52.77,2.92
1650,52.76,2.90
1700,52.79,2.91
1750,52.78,2.85
1800,52.70,2.87
1850,52.74,2.85
1900,52.73,2.80
1950,52.74,2.78
2000,52.70,2.78
2050,52.75,2.78
2100,52.69,2.73
2150,52.72,2.78
2200,52.71,2.81
2250,52.71,2.72
2300,52.68,2.71
2350,52.70,2.69
2400,52.68,2.70
2450,52.69,2.73
2500,52.66,2.70
2550,52.69,2.71
2600,52.65,2.69
2650,52.61,2.67
2700,52.58,2.64
2750,52.60,2.65
2800,52.61,2.66
2850,52.61,2.62
2900,52.60,2.58
2950,52.49,2.51
3000,52.58,2.61
3050,52.58,2.58
3100,52.50,2.49
3150,52.58,2.56
3200,52.51,2.47
3250,52.46,2.49
3300,52.54,2.50
3350,52.51,2.50
3400,52.53,2.45
3450,52.52,2.48
3500,52.53,2.42
3550,52.46,2.49
3600,52.48,2.46
3650,52.42,2.44
3700,52.45,2.43
3750,52.44,2.41
3800,52.38,2.37
3850,52.43,2.40
3900,52.39,2.37
3950,52.37,2.41
4000,52.38,2.35
4050,52.35,2.37
4100,52.32,2.32
4150,52.34,2.36
4200,52.37,2.37
4250,52.34,2.38
4300,52.32,2.31
4350,52.31,2.31
4400,52.34,2.30
4450,52.32,2.34
4500,52.34,2.32
4550,52.30,2.25
4600,52.27,2.27
4650,52.28,2.29
4700,52.27,2.29
4750,52.27,2.21
4800,52.23,2.27
4850,52.23,2.25
4900,52.23,2.22
4950,52.20,2.27
5000,52.22,2.20
5050,52.22,2.21
5100,52.19,2.21
5150,52.19,2.20
5200,52.20,2.19
5250,52.21,2.22
5300,52.16,2.19
5350,52.17,2.19
5400,52.19,2.14
5450,52.21,2.16
5500,52.11,2.05
5550,52.05,2.04
5600,52.04,2.07
5650,52.06,2.05
5700,52.03,2.05
5750,52.06,2.01
5800,52.00,2.04
5850,52.01,2.04
5900,52.03,2.05
5950,52.02,2.02
6000,51.97,1.96
6050,51.99,2.00
6100,51.97,1.96
6150,51.96,2.03
6200,51.97,1.97
6250,51.99,1.97
6300,51.95,1.97
6350,51.90,1.93
6400,51.91,1.91
6450,51.92,1.93
6500,51.86,1.90
6550,51.88,1.89
6600,51.86,1.93
6650,51.88,1.89
6700,51.86,1.91
6750,51.83,1.91
6800,51.82,1.88
6850,51.83,1.90
6900,51.78,1.89
6950,51.78,1.81
