IHC,result,error
1000,2.9982892562,0.014813505156751379
1050,2.98835582332,0.006665771585581204
1100,2.97842239044,0.012449562954279925
1150,2.96848895757,0.0009929457952459427
1200,2.95855552469,0.00034430749649207805
1250,2.94862209181,0.000129456794736101
1300,2.93868865893,0.000980400079310746
1350,2.92875522606,0.0009762358987263025
1400,2.91882179318,0.003742772989700557
1450,2.9088883603,0.0026123997125364596
1500,2.89895492743,0.0004428950796652875
1550,2.88902149455,0.0004400976909898198
1600,2.87908806167,0.0016737866978399853
1650,2.86915462879,0.0009514369248564779
1700,2.85922119592,0.0025784869441622922
1750,2.84928776304,5.072814884712032e-07
1800,2.83935433016,0.0009391570798308892
1850,2.82942089728,0.0004234994685736833
1900,2.81948746441,0.0003797612690238797
1950,2.80955403153,0.0008734407796743457
2000,2.79962059865,0.0003849678914897425
2050,2.78968716578,9.384118076011696e-05
2100,2.7797537329,0.0024754339372973265
2150,2.76982030002,0.00010362629166579861
2200,2.75988686714,0.0025113260846879775
2250,2.74995343427,0.0008972082243436751
2300,2.74002000139,0.0009012004833947064
2350,2.73008656851,0.001606932975043432
2400,2.72015313563,0.0004061488758993026
2450,2.71021970276,0.00039126015901603595
2500,2.70028626988,8.195044411113148e-08
2550,2.690352837,0.00038601101384757257
2600,2.68041940413,9.178781731456444e-05
2650,2.67048597125,2.361680538866539e-07
2700,2.66055253837,0.0004224068334799324
2750,2.65061910549,3.832916120044486e-07
2800,2.64068567262,0.00037304324229037823
2850,2.63075223974,0.00011561065940215827
2900,2.62081880686,0.0016661749936036244
2950,2.61088537398,0.010177858683953123
3000,2.60095194111,8.186736973079818e-05
3050,2.59101850823,0.0001214075236088099
3100,2.58108507535,0.008296490951962492
3150,2.57115164248,0.0001243591298940622
3200,2.5612182096,0.00832076176224438
3250,2.55128477672,0.0037558238576944976
3300,2.54135134384,0.0017099336376487138
3350,2.53141791097,0.0009870851294700002
3400,2.52148447809,0.005110030607621903
3450,2.51155104521,0.0009954684539364488
3500,2.50161761233,0.006661434643134135
3550,2.49168417946,2.836460443066503e-06
3600,2.48175074658,0.00047309497677101804
3650,2.4718173137,0.0010123414512331608
3700,2.46188388083,0.0010165818564664656
3750,2.45195044795,0.001759840083018926
3800,2.44201701507,0.00518645045966337
3850,2.43208358219,0.0010293562463483301
3900,2.42215014932,0.002719638073673283
3950,2.41221671644,4.913831769343541e-06
4000,2.40228328356,0.0027335417399574173
4050,2.39234985068,0.0004995158256004637
4100,2.38241641781,0.0038958092118320867
4150,2.37248298493,0.00015582491275035852
4200,2.36254955205,5.550917462248894e-05
4250,2.35261611917,0.000749876929040915
4300,2.3426826863,0.001068157983631218
4350,2.33274925342,0.0005175285311845261
4400,2.32281582054,0.0005205616670546474
4450,2.31288238767,0.0007353648987073937
4500,2.30294895479,0.0002907381428036866
4550,2.29301552191,0.0018503351252967149
4600,2.28308208903,0.00017114105349248025
4650,2.27314865616,0.0002839677893258733
4700,2.26321522328,0.00071742426397268
4750,2.2532817904,0.0018733133804122869
4800,2.24334835752,0.0007103100466243887
4850,2.23341492465,0.0002750647244466108
4900,2.22348149177,1.2120784946399884e-05
4950,2.21354805889,0.0031868216547505934
5000,2.20361462602,1.3065521233342798e-05
5050,2.19368119314,0.0002663034573857912
5100,2.18374776026,0.0006891800913071535
5150,2.17381432738,0.0006856894503603863
5200,2.16388089451,0.0006822076717772961
5250,2.15394746163,0.004362937825215497
5300,2.14401402875,0.002114709551622186
5350,2.13408059587,0.0031269797577270974
5400,2.124147163,0.0002513124410300423
5450,2.11421373012,0.0020963825095107556
5500,2.10428029724,0.0029463506687737156
5550,2.09434686437,0.002953581666370822
5600,2.08441343149,0.0002077470072678664
5650,2.07447999861,0.0005992703319952809
5700,2.06454656573,0.00021160257464577397
5750,2.05461313286,0.001990331623267127
5800,2.04467969998,2.189959189499854e-05
5850,2.0347462671,2.7601709364766565e-05
5900,2.02481283422,0.0006343933197975443
5950,2.01487940135,2.6220530561870272e-05
6000,2.00494596847,0.002020140081709147
6050,1.99501253559,2.487480121359066e-05
6100,1.98507910272,0.0006289613930129044
6150,1.97514566984,0.003008997537501597
6200,1.96521223696,2.292267491857208e-05
6250,1.95527880408,0.00021671360920853447
6300,1.94534537121,0.0006078507209534854
6350,1.93541193833,2.928907647744607e-05
6400,1.92547850545,0.00023958413102039412
6450,1.91554507257,0.0002089449268769255
6500,1.9056116397,3.149050009120236e-05
6550,1.89567820682,3.22420326897625e-05
6600,1.88574477394,0.001958525033388496
6650,1.87581134107,0.00020131804236377414
6700,1.86587790819,0.0019467589858605222
6750,1.85594447531,0.0029219997494263007
6800,1.84601104243,0.0011552492364571866
6850,1.83607760956,0.004086072000047171
6900,1.82614417668,0.0040775661720109675
6950,1.8162107438,3.8573338569765456e-05
