IHC,cooling,heating
300,52.82,3.12
315,52.81,3.07
330,52.84,3.09
345,52.85,3
360,52.8,2.94
375,52.81,2.96
390,52.78,2.97
405,52.78,2.96
420,52.81,2.98
435,52.78,2.96
450,52.79,2.92
465,52.76,2.91
480,52.77,2.92
495,52.76,2.9
510,52.79,2.91
525,52.78,2.85
540,52.7,2.87
555,52.74,2.85
570,52.73,2.8
585,52.74,2.78
600,52.7,2.78
615,52.75,2.78
630,52.69,2.73
645,52.72,2.78
660,52.71,2.81
675,52.71,2.72
690,52.68,2.71
705,52.7,2.69
720,52.68,2.7
735,52.69,2.73
750,52.66,2.7
765,52.69,2.71
780,52.65,2.69
795,52.61,2.67
810,52.58,2.64
825,52.6,2.65
840,52.61,2.66
855,52.61,2.62
870,52.6,2.58
885,52.49,2.51
900,52.58,2.61
915,52.58,2.58
930,52.5,2.49
945,52.58,2.56
960,52.51,2.47
975,52.46,2.49
990,52.54,2.5
1005,52.51,2.5
1020,52.53,2.45
1035,52.52,2.48
1050,52.53,2.42
1065,52.46,2.49
1080,52.48,2.46
1095,52.42,2.44
1110,52.45,2.43
1125,52.44,2.41
1140,52.38,2.37
1155,52.43,2.4
1170,52.39,2.37
1185,52.37,2.41
1200,52.38,2.35
1215,52.35,2.37
1230,52.32,2.32
1245,52.34,2.36
1260,52.37,2.37
1275,52.34,2.38
1290,52.32,2.31
1305,52.31,2.31
1320,52.34,2.3
1335,52.32,2.34
1350,52.34,2.32
1365,52.3,2.25
1380,52.27,2.27
1395,52.28,2.29
1410,52.27,2.29
1425,52.27,2.21
1440,52.23,2.27
1455,52.23,2.25
1470,52.23,2.22
1485,52.2,2.27
1500,52.22,2.2
1515,52.22,2.21
1530,52.19,2.21
1545,52.19,2.2
1560,52.2,2.19
1575,52.21,2.22
1590,52.16,2.19
1605,52.17,2.19
1620,52.19,2.14
1635,52.21,2.16
1650,52.11,2.05
1665,52.05,2.04
1680,52.04,2.07
1695,52.06,2.05
1710,52.03,2.05
1725,52.06,2.01
1740,52,2.04
1755,52.01,2.04
1770,52.03,2.05
1785,52.02,2.02
1800,51.97,1.96
1815,51.99,2
1830,51.97,1.96
1845,51.96,2.03
1860,51.97,1.97
1875,51.99,1.97
1890,51.95,1.97
1905,51.9,1.93
1920,51.91,1.91
1935,51.92,1.93
1950,51.86,1.9
1965,51.88,1.89
1980,51.86,1.93
1995,51.88,1.89
2010,51.86,1.91
2025,51.83,1.91
2040,51.82,1.88
2055,51.83,1.9
2070,51.78,1.89
2085,51.78,1.81
