density,cooling,heating
1000,46.48,5.26
1050,46.47,5.21
1100,46.48,5.21
1150,46.45,5.08
1200,46.42,5.05
1250,46.44,5.06
1300,46.43,5.09
1350,46.42,5.08
1400,46.44,5.08
1450,46.42,5.08
1500,46.41,5.02
1550,46.40,5.03
1600,46.40,5.03
1650,46.39,5.01
1700,46.41,5.00
1750,46.39,4.93
1800,46.37,5.01
1850,46.37,4.96
1900,46.36,4.90
1950,46.36,4.87
2000,46.34,4.90
2050,46.35,4.85
2100,46.33,4.82
2150,46.34,4.86
2200,46.35,4.89
2250,46.33,4.80
2300,46.31,4.80
2350,46.30,4.76
2400,46.30,4.77
2450,46.30,4.81
2500,46.29,4.79
2550,46.29,4.75
2600,46.28,4.76
2650,46.26,4.77
2700,46.25,4.76
2750,46.25,4.74
2800,46.25,4.74
2850,46.23,4.66
2900,46.21,4.62
2950,46.19,4.62
3000,46.21,4.67
3050,46.20,4.64
3100,46.18,4.58
3150,46.19,4.60
3200,46.17,4.53
3250,46.16,4.58
3300,46.15,4.50
3350,46.15,4.53
3400,46.13,4.44
3450,46.13,4.48
3500,46.11,4.41
3550,46.09,4.52
3600,46.08,4.45
3650,46.06,4.46
3700,46.07,4.42
3750,46.05,4.39
3800,46.02,4.38
3850,46.04,4.37
3900,46.02,4.36
3950,46.02,4.42
4000,46.00,4.30
4050,46.00,4.36
4100,45.96,4.29
4150,45.98,4.32
4200,45.98,4.30
4250,45.98,4.32
4300,45.96,4.24
4350,45.94,4.24
4400,45.95,4.24
4450,45.95,4.29
4500,45.94,4.24
4550,45.91,4.16
4600,45.90,4.20
4650,45.91,4.21
4700,45.91,4.21
4750,45.87,4.09
4800,45.88,4.19
4850,45.87,4.15
4900,45.85,4.11
4950,45.81,4.19
5000,45.78,4.08
5050,45.77,4.07
5100,45.77,4.09
5150,45.76,4.07
5200,45.76,4.04
5250,45.76,4.07
5300,45.73,4.06
5350,45.77,4.08
5400,45.75,3.98
5450,45.78,3.99
5500,45.76,3.94
5550,45.75,3.97
5600,45.75,4.00
5650,45.73,3.96
5700,45.72,3.96
5750,45.70,3.90
5800,45.68,3.96
5850,45.68,3.95
5900,45.69,3.94
5950,45.67,3.90
6000,45.63,3.84
6050,45.65,3.88
6100,45.61,3.82
6150,45.64,3.91
6200,45.61,3.83
6250,45.61,3.79
6300,45.60,3.81
6350,45.57,3.79
6400,45.56,3.73
6450,45.56,3.75
6500,45.53,3.75
6550,45.54,3.70
6600,45.54,3.76
6650,45.53,3.69
6700,45.52,3.71
6750,45.50,3.74
6800,45.51,3.69
6850,45.52,3.71
6900,45.48,3.71
6950,45.46,3.59
