density,result,error
1000,46.5249311295,0.0020188063960425292
1050,46.5162166007,0.0021359741793266144
1100,46.5075020719,0.0007563639589660458
1150,46.4987875431,0.0023802243633370794
1200,46.4900730143,0.0049102273372504555
1250,46.4813584855,0.0017105243264093858
1300,46.4726439568,0.001818507047830226
1350,46.463929428,0.001929794641730781
1400,46.4552148992,0.00023149315714345904
1450,46.4465003704,0.0007022696311304923
1500,46.4377858416,0.0007720529939415111
1550,46.4290713128,0.0008451412292328692
1600,46.420356784,0.0004143986562856029
1650,46.4116422552,0.00046838721227204127
1700,46.4029277265,5.0017052989262906e-05
1750,46.3942131977,1.7751034655091256e-05
1800,46.3854986689,0.0002402087373324595
1850,46.3767841401,4.602455692808239e-05
1900,46.3680696113,6.511862678494236e-05
1950,46.3593550825,4.159185445475807e-07
2000,46.3506405537,0.00011322138393987309
2050,46.341926025,6.518907302018089e-05
2100,46.3332114962,1.0313707641730098e-05
2150,46.3244969674,0.00024034402035476199
2200,46.3157824386,0.001170841508486026
2250,46.3070679098,0.0005258807605483001
2300,46.298353381,0.00013564373362264605
2350,46.2896388522,0.00010735338300573204
2400,46.2809243234,0.000363881435901314
2450,46.2722097947,0.0007722955127463903
2500,46.2634952659,0.0007025009310394811
2550,46.2547807371,0.0012403964800481448
2600,46.2460662083,0.0011515022190368162
2650,46.2373516795,0.0005129464208007897
2700,46.2286371507,0.0004563713290152379
2750,46.2199226219,0.0009046486708833655
2800,46.2112080932,0.001504812036700289
2850,46.2024935644,0.0007566040011827617
2900,46.1937790356,0.00026311968667665453
2950,46.1850645068,2.4359093181897404e-05
3000,46.176349978,0.0011323239800799534
3050,46.1676354492,0.0010474641471255799
3100,46.1589209204,0.00044432759533719036
3150,46.1502063916,0.0015835312657062474
3200,46.1414918629,0.0008127138831444957
3250,46.1327773341,0.0007410735401110928
3300,46.1240628053,0.0006727380695588029
3350,46.1153482765,0.001200741941472541
3400,46.1066337477,0.0005459817458944675
3450,46.0979192189,0.0010291765142381797
3500,46.0892046901,0.00043244491215148936
3550,46.0804901614,9.043703107681032e-05
3600,46.0717756326,6.764021967161465e-05
3650,46.0630611038,9.370356354140112e-06
3700,46.054346575,0.00024502971442982765
3750,46.0456320462,1.9079020338469093e-05
3800,46.0369175174,0.00028620239566266083
3850,46.0282029886,0.0001391694771819227
3900,46.0194884598,2.616733283848194e-07
3950,46.0107739311,8.512034808501606e-05
4000,46.0020594023,4.24113772331726e-06
4050,45.9933448735,4.429070890946678e-05
4100,45.9846303447,0.00060665388003418
4150,45.9759158159,1.6680559655274834e-05
4200,45.9672012871,0.000163807051220042
4250,45.9584867583,0.00046281956673421425
4300,45.9497722296,0.000104607288316871
4350,45.9410577008,1.1187309109629501e-06
4400,45.932343172,0.00031176357574422227
4450,45.9236286432,0.0006954484598517132
4500,45.9149141144,0.0006293016560300287
4550,45.9061995856,1.4443149464427169e-05
4600,45.8974850568,6.324939134956407e-06
4650,45.888770528,0.0004506904794481352
4700,45.8800559993,0.0008966431803640637
4750,45.8713414705,1.7995430285801256e-06
4800,45.8626269417,0.00030182315518978946
4850,45.8539124129,0.0002588104587305898
4900,45.8451978841,2.3060316998619987e-05
4950,45.8364833553,0.0007013681093021199
5000,45.8277688265,0.0022818607889020766
5050,45.8190542978,0.0024063241279579806
5100,45.810339769,0.001627296960184942
5150,45.8016252402,0.001732660619936518
5200,45.7929107114,0.0010831149243279111
5250,45.7841961826,0.00058545525266806
5300,45.7754816538,0.0020685808340715614
5350,45.766767125,1.0451480559817572e-05
5400,45.7580525962,6.484430628683673e-05
5450,45.7493380675,0.0009401541071859416
5500,45.7406235387,0.00037544725360818355
5550,45.7319090099,0.00032728392334278455
5600,45.7231944811,0.000718535843593004
5650,45.7144799523,0.00024087188025300453
5700,45.7057654235,0.00020262316742862354
5750,45.6970508947,8.697221845963754e-06
5800,45.688336366,6.949499727472411e-05
5850,45.6796218372,1.4300713005882236e-07
5900,45.6709073084,0.00036453087337629084
5950,45.6621927796,6.095269051191951e-05
6000,45.6534782508,0.0005512282608370735
6050,45.644763722,2.741860710753232e-05
6100,45.6360491932,0.0006785604679868826
6150,45.6273346644,0.00016041072473854155
6200,45.6186201357,7.43067387549581e-05
6250,45.6099056069,8.910062829962507e-09
6300,45.6011910781,1.4186670025027084e-06
6350,45.5924765493,0.0005051952683188395
6400,45.5837620205,0.0005646336187503513
6450,45.5750474917,0.00022642700718291948
6500,45.5663329629,0.0013200841957991766
6550,45.5576184342,0.0003104092219164794
6600,45.5489039054,7.927953072753867e-05
6650,45.5401893766,0.00010382339502956849
6700,45.5314748478,0.00013167213181193764
6750,45.522760319,0.0005180321211473478
6800,45.5140457902,1.636841847933257e-05
6850,45.5053312614,0.00021517189122922608
6900,45.4966167326,0.0002761158037448076
6950,45.4879022039,0.0007785329800638958
